id,y_true,y_pred,split,segmento
84900,151.78,151.79413338797158,test,general
55696,109.36,109.36733370471376,test,general
59739,57.04,57.084169232248705,test,general
8718,136.83,136.84514284192505,test,general
1598,99.78,99.79495023671988,test,general
74063,142.7,142.72644116253733,test,general
54879,81.32,81.34274581528638,test,general
81251,706.07,706.0689056529691,test,general
29401,617.85,617.8530439414842,test,general
88529,317.26,317.2837972244083,test,general
84231,74.03,74.0484108056153,test,general
65056,152.51,152.52929680119558,test,general
61777,137.99,138.01045536768973,test,general
27068,42.58,42.59838984203875,test,general
79176,62.15,62.171164085474636,test,general
81005,194.32,194.33648748887703,test,general
45020,96.16,96.21056326794228,test,general
95658,85.58,85.60836378063578,test,general
53339,614.4,614.4003702061603,test,general
39398,73.34,73.35767856593168,test,general
9928,51.32,51.34383571558821,test,general
72366,82.02,82.03037966889633,test,general
81920,125.42,125.4380876830024,test,general
45793,119.19,119.21255783179043,test,general
25115,137.55,137.56987871411772,test,general
20434,23.77,23.78325126975821,test,general
97,117.77,117.79170921247537,test,general
92204,71.05,71.06962613220654,test,general
23088,43.41,43.42224869231204,test,general
24051,168.83,168.8502678614236,test,general
36620,187.37,187.38790045273254,test,general
592,722.05,722.053904624303,test,general
72702,79.97,79.9979072315339,test,general
56093,243.24,243.2623315819785,test,general
65248,90.88,90.90532049877496,test,general
34084,236.34,236.35730229388327,test,general
1587,71.62,71.63607270905045,test,general
77429,93.3,93.31900147590454,test,general
72320,125.05,125.07866684489495,test,general
46834,921.05,921.0466380138665,test,general
24728,97.44,97.46101634805348,test,general
38313,313.72,313.7457984005637,test,general
6395,670.85,670.9212477141734,test,general
83255,61.78,61.79727142713121,test,general
17311,98.62,98.63238066399464,test,general
46641,41.01,41.029576402615284,test,general
81680,38.14,38.16421097852859,test,general
42431,217.36,217.4091777579387,test,general
5429,41.06,41.08176896683267,test,general
10771,43.29,43.3021213462801,test,general
73626,39.1,39.12073130379941,test,general
59191,138.09,138.1242370019024,test,general
18754,33.17,33.18345082429383,test,general
90937,41.0,41.02066297166173,test,general
84778,101.73,101.74489107818023,test,general
50080,39.09,39.11073166344224,test,general
45460,143.49,143.53922314822958,test,general
61115,263.66,263.69411602899174,test,general
27338,44.42,44.439903608708754,test,general
86214,118.28,118.30246986935423,test,general
20795,87.85,87.86652035908035,test,general
45353,32.42,32.43397152905317,test,general
2586,146.66,146.68407146610866,test,general
269,363.96,363.9952266906357,test,general
26019,64.0,64.01873861193721,test,general
12290,192.75,192.7626379876732,test,general
16175,217.82,217.84568385363653,test,general
38731,128.25,128.26549530272172,test,general
59898,67.22,67.2443500928923,test,general
35966,96.72,96.73604775052004,test,general
36896,150.7,150.71737599854725,test,general
43258,108.19,108.21164779325656,test,general
75597,127.6,127.62577732387312,test,general
39031,203.08,203.10371007671037,test,general
38144,139.06,139.07052031134072,test,general
3549,69.7,69.71919192425364,test,general
12737,36.36,36.37343484454051,test,general
4009,131.71,131.72384578441265,test,general
75283,230.36,230.51238287533783,test,general
85750,95.35,95.36130233967482,test,general
42702,40.09,40.110695699159244,test,general
17962,42.29,42.30215731056309,test,general
61686,212.28,212.31336355437037,test,general
87503,168.37,168.40173897688638,test,general
10438,83.41,83.42739320828709,test,general
56446,35.78,35.80160776025781,test,general
6437,146.54,146.55932498715833,test,general
82234,95.22,95.23895436810552,test,general
579,307.68,307.6900626099556,test,general
37099,38.05,38.064142091753304,test,general
81368,87.73,87.75976765206865,test,general
34703,58.09,58.11004834206544,test,general
20376,71.82,71.83606551619386,test,general
21890,76.89,76.91144588604305,test,general
26695,69.04,69.05532066736443,test,general
53022,233.99,234.01018462204848,test,general
89864,60.53,60.56151390741699,test,general
85617,93.51,93.53945237767684,test,general
10926,168.83,168.8502678614236,test,general
43695,357.58,357.59200938018023,test,general
33485,74.28,74.31502410996346,test,general
14963,103.14,103.15967893770275,test,general
72123,93.04,93.05664091519206,test,general
27926,49.42,49.43972378729381,test,general
69487,686.02,686.0195718777823,test,general
17067,91.28,91.29905218013187,test,general
